mesh-id,category
A000300,Platelet Aggregation Inhibitors Excl. Heparin
A000301,Agents Causing Muscle Toxicity
A000302,Agents reducing cytokine levels
A000303,Antineoplastic and Immunomodulating Agents
A000304,Biologics for Rheumatoid Arthritis Treatment
A000305,Disease-modifying Antirheumatic Agents
A000306,Tumor necrosis factor alpha (TNF-alpha) inhibitors
A000307,Tumor Necrosis Factor Receptor Blocking Activity
D005640,Follicle Stimulating Hormone
A000308,Genito Urinary System and Sex Hormones
A000309,Gonadotropins and Antigonadotropins
A000310,Sex Hormones and Modulators of the Genital System
A000311,"Arginine Vasopressin, analogs & derivatives"
A000312,Decreased Diuresis
A000313,Pituitary
D014661,Vasoconstriction
D014662,Vasoconstrictor Agents
A000314,Vasopressin and Analogues
A000315,Antineoplastic and Immunomodulating Agents
A000316,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
A000317,Myelosuppressive Agents
A000318,Recombinant Human Interferon beta
A000319,Alfa Interferons
A000320,Antineoplastic and Immunomodulating Agents
A000321,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
A000322,Interferon alpha
A000323,Myelosuppressive Agents
A000324,Alimentary Tract and Metabolism
A000325,Cytochrome P-450 CYP1A2 Inducers (strength unknown)
A000326,Drugs Used in Diabetes
A000327,"Insulins and Analogues for Injection, Fast-Acting"
A000328,Antineoplastic and Immunomodulating Agents
A000329,Cancer immunotherapy
A000330,Cardiotoxic antineoplastic agents
A000331,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors
A000332,HER2 Receptor Antagonists
A000333,HER2/Neu/cerbB2 Antagonists
A000334,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES
A000335,Narrow Therapeutic Index Drugs
D058846,"Antibodies, Monoclonal, Murine-Derived"
A000336,Biologics for Rheumatoid Arthritis Treatment
A000337,Cancer immunotherapy
A000338,CD20 (Clusters of Differentiation 20) inhibitors
A000339,CD20-directed Antibody Interactions
A000340,CD20-directed Cytolytic Antibody
A000341,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES
A000342,Myelosuppressive Agents
A000343,Narrow Therapeutic Index Drugs
A000344,Antineoplastic and Immunomodulating Agents
A000345,Interleukin 2 Receptor-directed Antibody Interactions
A000346,Interleukin-2 Receptor Antagonist
A000347,Interleukin-2 Receptor Blocking Antibody
A000348,Antineoplastic and Immunomodulating Agents
A000349,CD3 Blocker Immunosuppressant
A000350,CD3 Receptor Antagonists
A000351,CD3-directed Antibody Interactions
A000352,Decreased Immunologic Activity
A000353,Selective Immunosuppressants
D000931,Antidotes
A000354,Digoxin Binding Activity
D018951,"Antigens, CD20"
A000355,Cancer immunotherapy
A000356,CD20-directed Antibody Interactions
A000357,CD20-directed Radiotherapeutic Antibody
D016393,"Lymphoma, B-Cell"
A000358,Myelosuppressive Agents
A000359,Radiopharmaceutical Activity
A000360,Therapeutic Radiopharmaceuticals
A000361,Various Therapeutic Radiopharmaceuticals
D015021,Yttrium Radioisotopes
A000362,Agents Causing Muscle Toxicity
A000363,Antibacterials for Systemic Use
A000364,Antiinfectives for Systemic Use
A000365,Cyclic Lipopeptides
A000366,Drugs that are Mainly Renally Excreted
D008055,Lipids
A000367,Lipopeptide Antibacterial
D055666,Lipopeptides
A000368,P-glycoprotein substrates
A000369,CD20-directed Antibody Interactions
A000370,CD20-directed Radiotherapeutic Antibody
A000371,Drugs that are Mainly Renally Excreted
A000372,Iodine (131I) Compounds
A000373,Myelosuppressive Agents
D016499,Radioimmunotherapy
A000374,Radiopharmaceutical Activity
A000375,Therapeutic Radiopharmaceuticals
D000172,Acromegaly
A000376,Anterior Pituitary Lobe Hormones and Analogues
D002800,Cholinesterase Inhibitors
D065701,Cytochrome P-450 CYP3A Inducers
A000377,Cytochrome P-450 CYP3A4 Inducers (strength unknown)
A000378,Growth Hormone Receptor Antagonist
A000379,Growth Hormone Receptor Antagonists
A000380,Hypoglycemia-Associated Agents
A000381,Pegylated agents
A000382,Pituitary and Hypothalamic Hormones and Analogues
A000383,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
A000384,Agents that produce neuromuscular block (indirect)
D019274,"Botulinum Toxins, Type A"
A000385,Muscle Relaxants
A000386,"Muscle Relaxants, Peripherally Acting Agents"
A000387,Musculo-Skeletal System
D009465,Neuromuscular Agents
D009466,Neuromuscular Blocking Agents
A000388,Other Miscellaneous Therapeutic Agents
D018373,Peripheral Nervous System Agents
A000389,Alimentary Tract and Metabolism
D002265,Carboxylic Ester Hydrolases
A000390,"Digestives, Incl. Enzymes"
A000391,Enzyme Preparations
D008049,Lipase
D010184,Pancreatic Extracts
D014020,Tissue Extracts
A000392,Agents causing angioedema
A000393,Blood and Blood Forming Organs
A000394,Hypotensive Agents
A000395,"Streptokinase, antagonists & inhibitors"
A000396,Antineoplastic and Immunomodulating Agents
A000397,Cancer immunotherapy
A000398,CD52-directed Antibody Interactions
