id,derived-from,name,organism
BE0001225,Xylose isomerase,Streptomyces rubiginosus
BE0002192,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Humans
BE0002195,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",Humans
BE0002197,Gamma-butyrobetaine dioxygenase,Humans
BE0000138,Dopamine beta-hydroxylase,Humans
BE0002200,Peptidyl-glycine alpha-amidating monooxygenase,Humans
BE0002202,Prolyl 3-hydroxylase 1,Humans
BE0002206,Prolyl 3-hydroxylase 2,Humans
BE0002208,Prolyl 3-hydroxylase 3,Humans
BE0000060,Prolyl 4-hydroxylase subunit alpha-1,Humans
BE0002210,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1,Humans
BE0002203,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2,Humans
BE0002205,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2,Humans
BE0002213,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,Humans
BE0002215,Lysine-specific demethylase 5D,Humans
BE0000087,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Humans
BE0002221,"Trimethyllysine dioxygenase, mitochondrial",Humans
BE0002223,Transmembrane prolyl 4-hydroxylase,Humans
BE0002217,Egl nine homolog 1,Humans
BE0002211,Egl nine homolog 2,Humans
BE0002219,Egl nine homolog 3,Humans
BE0000964,Spermine synthase,Humans
BE0000566,Spermine oxidase,Humans
BE0000509,Extracellular calcium-sensing receptor,Humans
BE0000172,Beta-1 adrenergic receptor,Humans
BE0000694,Beta-2 adrenergic receptor,Humans
BE0009692,Adenylosuccinate Synthetases,Humans
BE0000277,Calcium-binding mitochondrial carrier protein Aralar2,Humans
BE0000187,Aspartoacylase,Humans
BE0000219,Asparagine synthetase [glutamine-hydrolyzing],Humans
BE0000481,Aminoacylase-1,Humans
BE0000725,"Aspartate--tRNA ligase, cytoplasmic",Humans
BE0000235,Calcium-binding mitochondrial carrier protein Aralar1,Humans
BE0000528,Aspartyl/asparaginyl beta-hydroxylase,Humans
BE0002225,Multifunctional protein ADE2,Humans
BE0002228,Adenylosuccinate synthetase isozyme 2,Humans
BE0001054,Excitatory amino acid transporter 3,Humans
BE0000788,"Argininosuccinate synthetase, isoform CRA_a",Humans
BE0002229,"Aspartate--tRNA ligase, mitochondrial",Humans
BE0002230,Isoaspartyl peptidase/L-asparaginase,Humans
BE0003317,Ribonuclease pancreatic,Humans
BE0003751,Lysozyme C,Humans
BE0000306,"Ornithine carbamoyltransferase, mitochondrial",Humans
BE0000286,Arginase-1,Humans
BE0000371,Ornithine decarboxylase antizyme 1,Humans
BE0000258,Mitochondrial ornithine transporter 2,Humans
BE0000201,Mitochondrial ornithine transporter 1,Humans
BE0000347,"Glycine amidinotransferase, mitochondrial",Humans
BE0000874,CTP synthase 1,Humans
BE0000374,Amidophosphoribosyltransferase,Humans
BE0002240,Glutamine synthetase,Humans
BE0004907,5'-AMP-activated protein kinase,Humans
BE0003540,Adenosine kinase,Humans
BE0000254,5'-AMP-activated protein kinase subunit beta-1,Humans
BE0000350,"Acetyl-coenzyme A synthetase, cytoplasmic",Humans
BE0000677,5'-AMP-activated protein kinase catalytic subunit alpha-1,Humans
BE0000269,Adenylate cyclase type 1,Humans
BE0000639,Long-chain-fatty-acid--CoA ligase 1,Humans
BE0000958,Cyclic AMP-responsive element-binding protein 1,Humans
BE0000487,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Humans
BE0001473,Histidine triad nucleotide-binding protein 1,Humans
BE0001287,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Humans
BE0002431,"Fructose-1,6-bisphosphatase 1",Humans
BE0000888,Fatty acid desaturase 1,Humans
BE0002246,Fatty acid desaturase 2,Humans
BE0001023,Transient receptor potential cation channel subfamily V member 1,Humans
BE0000071,Peroxisome proliferator-activated receptor alpha,Humans
BE0001777,Bile acid receptor,Humans
BE0001007,Peroxisome proliferator-activated receptor delta,Humans
BE0000215,Peroxisome proliferator-activated receptor gamma,Humans
BE0000412,Retinoic acid receptor RXR-alpha,Humans
BE0009936,Elongation of very long chain fatty acids protein 2,Humans
BE0009375,Elongation of very long chain fatty acids protein 5,Humans
BE0000986,Sodium/calcium exchanger 1,Humans
BE0000063,"Serine--tRNA ligase, cytoplasmic",Humans
BE0001534,Methionine aminopeptidase 2,Humans
BE0000845,Betaine--homocysteine S-methyltransferase 1,Humans
BE0002249,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Humans
BE0000363,"Tyrosine--tRNA ligase, mitochondrial",Humans
BE0000230,"Tyrosine--tRNA ligase, cytoplasmic",Humans
BE0000779,Vitamin D3 receptor,Humans
BE0008987,Homeobox protein Hox-A10,Humans
BE0000030,Cystine/glutamate transporter,Humans
BE0000035,Cystinosin,Humans
BE0000152,"Succinate-semialdehyde dehydrogenase, mitochondrial",Humans
BE0002258,Succinate receptor 1,Humans
BE0000370,Riboflavin kinase,Humans
BE0003327,Riboflavin synthase,Escherichia coli (strain K12)
BE0000595,Flavin reductase (NADPH),Humans
BE0000259,"Beta-1,4-galactosyltransferase 1",Humans
BE0002263,"Beta-1,4-galactosyltransferase 4",Humans
BE0002265,N-acetyl-D-glucosamine kinase,Humans
BE0002266,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Humans
BE0000391,Alpha-N-acetylglucosaminidase,Humans
BE0000109,N-acylglucosamine 2-epimerase,Humans
BE0000824,Metabotropic glutamate receptor 1,Humans
BE0000833,Metabotropic glutamate receptor 4,Humans
BE0000827,"Glutamate receptor ionotropic, kainate 4",Humans
BE0000828,"Glutamate receptor ionotropic, kainate 5",Humans
BE0000834,Metabotropic glutamate receptor 7,Humans
BE0000835,Metabotropic glutamate receptor 8,Humans
BE0002267,Excitatory amino acid transporter 5,Humans
BE0002268,5-oxoprolinase,Humans
BE0002235,Phosphoribosylformylglycinamidine synthase,Humans
BE0000396,"Glutamate receptor ionotropic, NMDA 2D",Humans
BE0000825,"Glutaminase kidney isoform, mitochondrial",Humans
BE0000188,Bifunctional glutamate/proline--tRNA ligase,Humans
BE0001115,Excitatory amino acid transporter 1,Humans
BE0000884,Excitatory amino acid transporter 2,Humans
BE0000166,Glutamate--cysteine ligase catalytic subunit,Humans
BE0002270,Excitatory amino acid transporter 4,Humans
BE0000755,"Glutamate dehydrogenase 2, mitochondrial",Humans
BE0000321,GMP synthase [glutamine-hydrolyzing],Humans
BE0000365,"Glutamate receptor ionotropic, NMDA 1",Humans
BE0000700,"Folylpolyglutamate synthase, mitochondrial",Humans
BE0002271,Glutamyl aminopeptidase,Humans
BE0000760,"Glutamate receptor ionotropic, NMDA 2A",Humans
BE0000417,"Glutamate receptor ionotropic, NMDA 2B",Humans
BE0000454,"Glutamate receptor ionotropic, NMDA 2C",Humans
BE0002272,"Probable glutamate--tRNA ligase, mitochondrial",Humans
BE0002244,Glutamine-dependent NAD(+) synthetase,Humans
BE0002274,"N-acetylglutamate synthase, mitochondrial",Humans
BE0000641,"Glutamate receptor ionotropic, NMDA 3A",Humans
BE0000073,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",Humans
BE0000003,"Glutaminase liver isoform, mitochondrial",Humans
BE0002277,Aspartyl aminopeptidase,Humans
BE0004640,Carboxypeptidase Q,Humans
BE0000180,"Glutamate dehydrogenase 1, mitochondrial",Humans
BE0000346,"Glutamate receptor ionotropic, kainate 1",Humans
BE0000640,Glutamate receptor 1,Humans
BE0000606,Glutamate--cysteine ligase regulatory subunit,Humans
BE0000602,Glutamate decarboxylase 2,Humans
BE0000829,Glutamate receptor 2,Humans
BE0000831,Glutamate receptor 3,Humans
BE0000830,Glutamate receptor 4,Humans
BE0000823,Delta-1-pyrroline-5-carboxylate synthase,Humans
BE0000826,"Glutamate receptor ionotropic, kainate 2",Humans
BE0000832,"Glutamate receptor ionotropic, kainate 3",Humans
BE0000747,Aldose reductase,Humans
BE0000058,Matrix metalloproteinase-9,Humans
BE0002638,Cytochrome P450 3A4,Humans
BE0009997,Glutathione peroxidase,
BE0000648,"Glutathione reductase, mitochondrial",Humans
BE0000185,Glutathione synthetase,Humans
BE0000807,Glutathione S-transferase Mu 1,Humans
BE0000808,Glutathione S-transferase kappa 1,Humans
BE0000809,Glutathione S-transferase A3,Humans
BE0000810,Glutathione S-transferase Mu 3,Humans
BE0000811,Glutathione S-transferase A4,Humans
BE0000812,Glutathione S-transferase Mu 4,Humans
BE0000813,Glutathione S-transferase A5,Humans
BE0000814,Glutathione S-transferase P,Humans
BE0000815,Glutathione S-transferase omega-1,Humans
BE0000816,Glutathione peroxidase 1,Humans
BE0000817,Glutathione peroxidase 2,Humans
BE0000818,Glutathione S-transferase theta-1,Humans
BE0000819,Maleylacetoacetate isomerase,Humans
BE0000820,Epididymal secretory glutathione peroxidase,Humans
BE0000821,Glutathione peroxidase 3,Humans
BE0000962,Lactoylglutathione lyase,Humans
BE0001117,Leukotriene C4 synthase,Humans
BE0002279,Microsomal glutathione S-transferase 3,Humans
BE0001167,Hematopoietic prostaglandin D synthase,Humans
BE0002281,Glutathione S-transferase A1,Humans
BE0002189,Glutathione S-transferase A2,Humans
BE0002282,Microsomal glutathione S-transferase 1,Humans
BE0002283,S-formylglutathione hydrolase,Humans
BE0000889,Gamma-glutamyltranspeptidase 1,Humans
BE0001189,Glutathione S-transferase Mu 2,Humans
BE0002284,Glutaredoxin-1,Humans
BE0001135,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",Humans
BE0002285,Glutathione S-transferase Mu 5,Humans
BE0002286,Glutathione peroxidase 6,Humans
BE0001825,"Hydroxyacylglutathione hydrolase, mitochondrial",Humans
BE0002287,Glutathione peroxidase,Humans
BE0002289,Glutathione peroxidase 7,Humans
BE0002290,Microsomal glutathione S-transferase 2,Humans
BE0002291,Glutathione S-transferase omega-2,Humans
BE0002292,"Glutaredoxin-2, mitochondrial",Humans
BE0000673,Phosphatidylserine decarboxylase proenzyme,Humans
BE0000189,Scavenger receptor class B member 1,Humans
BE0001132,Protein kinase C alpha type,Humans
BE0001099,Phosphatidylserine synthase 1,Humans
BE0002296,Diacylglycerol kinase gamma,Humans
BE0002297,Diacylglycerol kinase delta,Humans
BE0002299,Phosphatidylserine synthase 2,Humans
BE0002300,Sphingomyelin phosphodiesterase 4,Humans
BE0002301,Sphingomyelin phosphodiesterase 3,Humans
BE0001001,Probable phospholipid-transporting ATPase IA,Humans
BE0000998,Glycine--tRNA ligase,Humans
BE0002303,Bile acid-CoA:amino acid N-acyltransferase,Humans
BE0002304,N-arachidonyl glycine receptor,Humans
BE0002305,Glycine N-acyltransferase,Humans
BE0002306,Glycine N-acyltransferase-like protein 2,Humans
BE0002307,Glycine N-acyltransferase-like protein 1,Humans
BE0002309,Peroxisomal sarcosine oxidase,Humans
BE0000534,"Glutamate receptor ionotropic, NMDA 3B",Humans
BE0000433,Glycine receptor subunit alpha-1,Humans
BE0000055,Glycine receptor subunit beta,Humans
BE0000414,Glycine receptor subunit alpha-3,Humans
BE0000745,Glycine receptor subunit alpha-2,Humans
BE0000042,Pyridoxal kinase,Humans
BE0000714,Creatine kinase M-type,Humans
BE0000171,"Creatine kinase U-type, mitochondrial",Humans
BE0000082,Creatine kinase B-type,Humans
BE0000410,"Creatine kinase S-type, mitochondrial",Humans
BE0000375,Sodium- and chloride-dependent creatine transporter 1,Humans
BE0000567,Guanidinoacetate N-methyltransferase,Humans
BE0000204,"Probable leucine--tRNA ligase, mitochondrial",Humans
BE0000613,Leucine carboxyl methyltransferase 2,Humans
BE0000450,Leucine carboxyl methyltransferase 1,Humans
BE0000769,"Leucine--tRNA ligase, cytoplasmic",Humans
